sentiment,text
positive,"@united I'll stick with my United flight. Thanks, though. Effort is much appreciated."
neutral,@USAirways is there a phone number or email address to customer service?
negative,@united I am now following you and see that I am not the only one experiencing and noticing a substantial downgrade in service post merger
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/MB0hVfqB1t”-see what ihop started 😑
negative,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly
negative,"@united Yes I did.  We headed out to de-ice 5 minutes after I sent it to you.  Made it to Austin, but am now waiting for the luggage."
negative,"@USAirways trying 2 fly frm DCA to SRQ to visit a family member in hospice but 4532 was Cancelled Flightled, can someone assist me?"
negative,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,"
positive,@VirginAmerica @SSal thanks!
positive,@SouthwestAir I've DM'd you. Thanks!
neutral,@SouthwestAir We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3)
negative,@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?
negative,@united But I got a bad exchange rate so want my money back. Please can you refund without penalty.
negative,@AmericanAir I changed my own flight to tonight. Why couldn't AA do that on my behalf instead of a flight tomorrow? Poor effort all around.
neutral,@AmericanAir These birds could fly to South America for example #Argentina
positive,"@SouthwestAir kudos to the crew of flight 1050 to GRR for making a very special memory for a sweet young passenger, and her Momma. Well done"
neutral,@USAirways download jeokoo the American app for air travelers
neutral,@SouthwestAir #DestinationDragons Any word on winners of contest? Any chance for tix for the Provo DestinationDragons show? Fingers Crossed!
positive,@united all good! Next flight was a little delayed so it all worked 👍
neutral,"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?"
neutral,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
neutral,@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗
negative,@united you are terrible.
negative,@united why don't you allow families with small children to board first anymore? Our next flight will be on another airline...
neutral,@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15
negative,@USAirways was on the phone for over an hour waiting without an answer. 😩
negative,"@USAirways flights keep getting delayed and Cancelled Flighted with no information, worst customer service ever."
negative,@USAirways Finally back on board.  Door was closed only to be reopened because we need fuel. You think someone wd have thought of it earlier
negative,"@united, more lies... http://t.co/BEqoTLNugc"
neutral,"@USAirways I'm referring to email like this.  Just tell people when they GET the upgrade. Otherwise, we know already. http://t.co/N8UvCLMADA"
negative,@SouthwestAir been on hold over an hr to rebook a Cancelled Flighted flight. Do you have anyone working???
negative,"@SouthwestAir Flt 463 San Jose, CA -&gt; Denver, CO. Delayed 2 hrs but easily best flight + touchdown in all my years flying. Keep it up!"
negative,@SouthwestAir great now we are all de boarding perfectly plane is shot. Fml. Plans are screwed. Thanks for nothing @SouthwestAir
positive,@AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.
negative,"@AmericanAir spent $8 for the choppiest feed of ""Whiplash"" ever. #americanairlinesfail #iwantmymoneyback"
negative,"@JetBlue poor storm customer service, 1hr takeoff delay waiting for the snack cart, rude steward (no names) and I love you guys. #TrueBlue"
negative,@USAirways How about moving my seats to where I bought them 4 months ago? This happens far too often...
negative,@SouthwestAir  why are you the only airlines to Cancelled Flight all flights into BNA? Been stranded in philly for 2 days. Hoping to get out in the AM
positive,"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!"
negative,@USAirways 2 hours and 7 minutes. Just want to know I'm still in the queue...
negative,"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL"
negative,@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing
negative,@SouthwestAir my wife is trying to get a group of clients to their destination and just got disconnected after2 hours holding. Help.
neutral,"@JetBlue It's for me, I spoke with a rep on the phone who suggested I ""Voice a concern"" via ""Email us"" on your site. I did a few moments ago"
negative,@united I am so happy I found my phone because this is easily the worst system I have ever heard of
positive,@JetBlue today my family gets to experience #mosaic status w/ me! #LifeIsGood
negative,@AmericanAir flight attendants on AA2402 were spectacular.Fed the ENTIRE cabin then food from coach. Why do you keep serving this vile food
neutral,@SouthwestAir Flight 4315 (N231WN) taxis at @FlyTPA prior to flight to @Fly_Nashville http://t.co/IDRa8keNoH
negative,@AmericanAir my #Navy sisters flight 2470 cancld. She can't get an agent. They've called her back to be put on hold &amp; then discnct.Any help?
negative,@united - not only 2 hour delay - double booked seat nit parked at wrong gate - incompetence at its finest - been waiting  for over 1 hr
negative,".@JetBlue ooookay @ABC that's silly of you. guess we're ""watching"" the oscars purely on Twitter reactions tonight. #oscars"
positive,@USAirways thanks Travis at PHL A East checkin for knowing baggage policies. Skis &amp; boots count as 1. Teach your mgr who didn't know
negative,@USAirways @stephenrodrick Your team needs to build capacity
positive,"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”"
neutral,@SouthwestAir Just DMed you my confirmation number.
negative,@USAirways Stop reposting same autoresponse  That was return flight home #imateacher. Couldnt get to RSW  #neptune#waivethefee #notmyfault
neutral,@united landing in Chicago - saw it once we were already airborne.
negative,@AmericanAir One hour to check in is 45 minutes too long. MIA FAIL.
negative,"@USAirways yeah , I have been expecting The same for 3 hours"
positive,@JetBlue Landing! As usual great flight wiyh a great crew. Hello sunny West Palm Beach ! #jetbluerocks
negative,"@united @danahajek : she means to say there has been so many complaints today (this week, this month) that she can't respond b/c she's alone"
negative,@SouthwestAir So I guess you can get to the airport too early!  Need to wait 10mins to checkin. Really?
neutral,Peak #Caucasity RT @JetBlue Our fleet's on fleek. http://t.co/cSNRPVY9b9
negative,@AmericanAir I loved todays fight. But there was a bad draft on the airplane please add more air to air thanksm
negative,@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!
negative,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient
neutral,@united lets see of we can do this today! Hoping for an on-time dept #dullestostatecollege #runningonthreehoursofsleep #delayedovernight
neutral,@JetBlue any idea when the flight will actually take off?
negative,@USAirways the flight that I did not connect to was 1857.
positive,"@JetBlue lmfao, i love it"
negative,"@united yes, I know that. The question is ""why is that still the case""? #fail"
negative,"@AmericanAir glad that you WANTED to help me, but you didn't. Have an agent call me before I rant about shitty service every day"
negative,@SouthwestAir most other carriers were flying out way past SW Cancelled Flightlation. @AlaskaAir and @JetBlue got their passengers out much Late Flightr!!!!!
neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
negative,@USAirways duh on baggage claim 2 more hours and counting .. Flights 622 &amp; 1898 http://t.co/DkZl57uPQI
negative,@AmericanAir yes I did but no response.
negative,"Stop the madness ""@JetBlue: Our fleet's on fleek. http://t.co/Q5a7jtkI5K”"
negative,"@AmericanAir no no no, YOU DM me, I pay you money and you want to me to reach out to you for help? How about the other way around"
negative,@AmericanAir I have never on all my trips on any airline ever nat'l or int'l ever experienced anything like this!
negative,@AmericanAir Worst airline ever. We have been stranded for 24 hours because of your 7 hour delay with flight 104 last night.
neutral,.@united I took a screenshot and emailed it to myself. Let's DM and figure this out.
neutral,@AmericanAir When did they start to sell water @AdmiralsClub ?
negative,@SouthwestAir Feeling very frustrated that I bought WIFI onboard and can't load an email.
neutral,@SouthwestAir we're flying out tomorrow! PLEASE DONT Cancelled Flight!! Lol 😜✈️
negative,@USAirways Its pretty ridiculous that at PHX sky harbor you have 4 (!) employees working check in on a SUNDAY afternoon. 30 min &amp; counting..
negative,@USAirways i've been on hold for an hour trying to change my flight!!! COME ON
negative,"@united no bag tagging, led to many people backing up the aisle to front with bags"
negative,@USAirways I've been trying for DAYS!  And I don't get hung up on until after I get through all the prompts.  What am I to do??
negative,@JetBlue absolutely no worries. I'm just never flying with you again. Ever. Even I have to hitch hike cross country #passengersarepeople
positive,"@united @staralliance was there few weeks ago AWESOME,bright vibrant, and NO habitrails"
negative,"I will, if you can show me where this new program is beneficial to your longstanding loyal consumers... @united"
negative,@JetBlue just a very rude rep while trying to book family vacation using trvl credit. on phone w/ new rep now who is being very helpful
negative,@SouthwestAir lets chat about flights to and from BWI and the Carolina area... Can a girl get break? I've had to resort to USAir 😖 2 a day?!
neutral,@AmericanAir can I send you my trusted traveler ID to add to my reservation for tsa pre?
negative,@AmericanAir my flight to San Angelo via Dallas from Orlando Cancelled Flighted help! On hold and disconnect
neutral,"@united I normally ask people to put on headphones...but not toddlers. Maybe planes should have a ""kid"" section (near the back) ;)"
negative,@AmericanAir robocalls me with another Cancelled Flightation. And then when I don’t accept the change it won’t let me connect to an agent. Just wow.
negative,@SouthwestAir Weather seriously cannot even be the only excuse at this point because it was awful service in the summer too. Over it.
neutral,@united @Lmuschel he is traveling with me on a sep reservation number F3KxB8
neutral,@JetBlue hello! my husband bought us a trip last night &amp; just noticed my last name is misspelled! What can I do? Thanks!
negative,@USAirways that is actually not true! You can get a seat online after a big hassle. That policy is totally dishonest and misleading. #FAA
neutral,"@JetBlue do they have to depart from Washington, D.C.??"
positive,@SouthwestAir we're here at MCO. Thanks.
negative,@united flight 4841...3 gate changes on top of this.  Really hoping you can compensate with some points/mileage to my account!
positive,@united good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! http://t.co/9tbsJquw41
negative,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child
positive,@SouthwestAir much respect!
negative,@JetBlue we need an ETA please
negative,@USAirways How dirty does the damn plane have to be to take an hour to get the plane cleaned??? Refund me my miles😡. #wasteoftime #theworst
negative,"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob"
neutral,@JetBlue and ask she load the bag for my flight
positive,@USAirways  thank you! Glad to be heading home! Great people at your call center!
negative,@USAirways the least you could do is make up for what you have caused. You are ruining people's memories! You should be ashamed!
negative,@JetBlue great job getting flight 28 in 10 minutes early. Too bad we're at 50 minutes and counting waiting for our bags.
negative,@united we still need help. Hung up on twice. Customer service rep said there is no way to help between the gate rep and phone rep.
negative,"@united Just got demoted from Gold cuz my hubby got 100% of the PQD, tho there were enuf $ spent for 4 Golds.#spousal.discrimination/angry."
negative,@JetBlue CCNDJP/ I can send a screen shot of the systems error if an email address is provided
neutral,@JetBlue @BucketObolts Same
negative,@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?
positive,"@SouthwestAir @Imaginedragons @beatsmusic well timed tweet, just boarded and will be listening on my way home!"
negative,@AmericanAir we're still stucked in the airport. #AADelay #AA919
negative,@united Miserable trip ... lost bag Sat... found Mon... lost again... shipping 2nd day ground Tues... might have it for return flight home
positive,@united Life goal: complete ✔️
positive,"@AmericanAir me too. Despite the chaos, I'm still grateful for a flight home ✈️"
neutral,"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL"
positive,"@AmericanAir @USAirways Statement wasn't sent yesterday like Jeanine said. After I even called last night as well. Again, excellent service"
negative,"@united Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag."
neutral,"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday"
negative,@USAirways @AmericanAir  best u could do-I might get my refund within 2 billing cycles. Months of u guys asking for another chance. I'm done
positive,"@united well, thanks for not charging me for switching my two Cancelled Flightled flights anyway. That was pretty nice. #stillmakingmepoorthough"
negative,@SouthwestAir Two delayed flights in a row. Neither one of them explained
negative,@JetBlue I would drive 2 1/2 hours to jfk to board JetBlue to Vegas instead of closer Hartford airport. Cramming more seats on plane.NO MORE
negative,@SouthwestAir your checkin system is #poor
negative,"@USAirways was on hold for four hours, never got connected. Came to the airport and your rep essentially told me and everyone else to screw"
neutral,@usairways Does anyone know the hold times for USAirways reservations?
positive,@JetBlue Thank you for the quick response! I am trying to request abassinet for my son. it would be great if you can help me with my request
negative,@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...
negative,"@united I am a loyal Premier Platinum member, but the lack of communication was really bad. Also, i don’t see that it has taken off yet"
negative,"@USAirways Houston hub Aa T. Employee the bag is not here, It made it to Pa before me! Oops not your problem http://t.co/Uld0hWFkfo"
negative,@AmericanAir - Please find my bag!! In Singapore for three days already without my bag. Last known destination LAX Tag: 580815 Please help.
negative,@united you are offering us 8 rooms for 32 people #FAIL
neutral,@united there are at least 3 of us on UA1564 at ORD waiting to deplane to catch UA4232 to CLT. Any chance of waiting to last second for us?
negative,"@JetBlue @julesdameron ""Considering?"" #Accessibility is an absolute MUST! #Equality"
negative,@USAirways I'm sure you don't but question still remains why we only found out at 8.20 that crew won't come before 9.50 for 8.10 flt. Tks.
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative,@united If United loses your baggage they will get it to the airport in the country your in and then it disappears!
negative,@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.
negative,@JetBlue your wifi is a lie and i hate you
negative,@united thanks kp but luckily my transfer has maintenance issues and is still delayed so I didn't miss my transfer...
negative,"@USAirways flight today showing on time online, not able to check in. Called &amp; told was Cancelled Flightled, put on hold over an hr ago. Help?"
negative,@JetBlue they are rude and unhelpful. They suggested I catch a flight tomorrow I was supposed to be home today at 2 am and work is waiting
negative,@JetBlue what's going on with flight 669 and how many free trips will I get from this epic inconvenience @anku http://t.co/pEUc0BMij9
neutral,@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?
negative,"@AmericanAir SJC-&gt;LAX. After the fourth time, I gave up!"
negative,"@USAirways No, they won't because after 5 hours of holding I had to give up because I couldn't borrow the phone any longer. 5 hours..."
negative,@united well this one missed the mark.  She was in a snit from the minute I stepped up to the counter
negative,@USAirways they call weather an act of God and refuse to help. I have my wife and 3 kids and they have no sympathy.
negative,@JetBlue you have to service your remote controllers on my flight I watched equalizer (movie) THREE times because my remote was stuck
negative,"@USAirways his name is Rett Cavan, he has a gofundme page, and is going to take his last breath tonight. This airline only cares about money"
positive,@AmericanAir yes called your UK number on skype…well worth the $.50.  i recommend others do the same.
neutral,@JetBlue that's what we've been told however how would this work if you're going overseas? Bottom line is passengers feel as if there's (1)
negative,@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad
neutral,@SouthwestAir -17mph winds and would do anything to be in Florida right now.. help a sister out!!
positive,@SouthwestAir About time...and just in time for my next flight Thursday.
positive,@SouthwestAir Got help from a nice lady on the phone in Georgia.  Thank you!
negative,@USAirways another bad experience today.  Frozen pipes on 597.  Missing connection.
neutral,@United lounge @ #Heathrow Used by @AirNZUSA http://t.co/6hJucP694l
positive,@united Thanks!
negative,@JetBlue serious attitude. I was in the fault for running a tad behind but before she even knew my name or my flight info she ASSURED Me
negative,"@USAirways, another hour gone &amp; they sit with more snow on them! Seriously?! http://t.co/Fupf0UAyir"
negative,@SouthwestAir My flight to KC has been Cancelled Flighted and the next available isn't till Tuesday?! What am I supposed to do for 3 nights?????
negative,"@USAirways flt 419. 2+ hrs Late Flight, baggage + 1 more hr. Now I see they delivered my suitcase wet inside &amp; out. #NotHappy"
negative,@JetBlue maybe have a supervisor find out why the international checkin at FTL hasn't moved in 20 minutes yet employees picked up 100 pizza
negative,@USAirways depart from where? It departed PHX and was due to land at DCA around 8pm.
negative,@USAirways @AmericanAir working for me. Tight cx @Mia so they're delaying our flight. Twice. In 20 secs @jabevan221 http://t.co/G3Uy6w28QH
positive,"@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!"
positive,@AmericanAir appreciate it!!
negative,@united I flew back w other company since United didnt have an earlier flight
negative,"@united I was insulted, disrespected and met with incompetence at every turn how about a voucher for a domestic round trip"
neutral,@USAirways 1826 trying to make a connection to Punta Cana leave PHL at 9:50
positive,@united Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight. She did the work.  Huge thanks.
negative,@SouthwestAir the wait for the bags is longer than the actual flight.
negative,"@united, I'm still frustrated I gave up my seat &amp; the promised Travel Certificate was withheld w/o explanation. http://t.co/KvfwajVViD"
negative,@AmericanAir how about you give us a number to call instead of the empty email since you are not working on it
negative,@united no it weighed 45.5 and it was the only checked bag
negative,@JetBlue only w/ $70 upgrade. Unsure why she can't just switch someone around. I called 24 hrs in advance for this reason.
negative,"@united, we've been waiting for over an hour for our luggage- what gives?"
negative,@USAirways Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.
negative,"@united b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight."
negative,"@USAirways told me I deserved to be delayed because I booked the last flight and then I hear ""the only inconvience is missing your flight"""
positive,@SouthwestAir @FortuneMagazine I always tell everyone to fly Southwest! Congratulations!!!
negative,@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!
neutral,“@united: @Addair  We hope you don't miss your connection. For help with re-Flight Booking Problems please Follow us &amp; DM your confirmation. ^CP”done thx
negative,"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept."
negative,"@SouthwestAir According to TV passenger interviews, the landing was far from ""uneventful"" with heavy (panic) breaking to"
negative,"@SouthwestAir - stuck on the runway, again. Delayed on Wednesday. Not a good way to take care of your loyal customers."
neutral,@united This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?
neutral,"@united hey, I missed my outbound flight - can I still use my return ticket?"
positive,@JetBlue I'm all set. About to fly. Not bad for a first date with a giant metal bird machine. She even brought snacks.
negative,@United has two whole people trying to schedule a flight's worth of missed connections. Shameful http://t.co/6kqLhVaP7G
negative,@JetBlue now we are delayed until 1:02! This is ridiculous
negative,@united Held up for almost 45 minutes and then promised free movies and it didn't work and neither did the wifi that was paid for. Boo :(
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
negative,@JetBlue I just DM'd you!
negative,@united Need to track lost luggage being shipped to me. Need ph # for human. Not automated 800-335-2247.
negative,@united 20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable!
negative,@AmericanAir me because it might not be so urgent for you but it really is for me. (5)
positive,@JetBlue oh yes! I hope you expand to other airports soon so I can fly you to see my family each year!!!!
negative,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
negative,"@USAirways it's not a consolation because my bags are somewhere else, which is a real impediment to me going on a different vacation"
negative,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA
neutral,@USAirways can you DM me &amp; add me to the upgrade list for a flt tonight?
negative,"@AmericanAir @naomi_cooper Are you out of your mind, AA? What is the point of this Twitter acct? Form letters in 140 characters or less?"
negative,@USAirways @noltnancy What will be is a what may be...what is...sucks. #fail
neutral,@JetBlue Re: Flight 8088 SXM&gt;JFK what time does bus leave hotel on Feb 22?  Mass confusion here.
negative,"@united I'm checked in, agent wouldn't tag my bags at 7am. Now I'm standing in line hell."
negative,"@USAirways Thanks, but you can't. My flight was Cancelled Flightled for ""maintenance"" reasons, and the next available flight was too Late Flight for me."
neutral,"@United why not charge for 2nd carryon instead of checked bag? Less jockeying for overhead space, happier passengers, more ontime departures"
negative,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?"
negative,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.
positive,@SouthwestAir  Just sent DM. Thanks for your attentiveness to this matter.
negative,"@united hey, left my computer bag, w/computer inside, in United, filed online report, no response"
neutral,Can You please help to save my daughters life @JetBlue for details Go here @Help_Lindsey
negative,@SouthwestAir we didn't nothing was ruined just wet. Just frustrating when after traveling for 12 hours you can't change into clean clothes
neutral,@AmericanAir I left something on my flight from ORD to SFO earlier today and believe it's on the plane back at ORD now. Please help.
negative,@USAirways got off stand by list and on earlier flight to DCA. What is the status of my checked bag? Was supposed to be on #4047 thanks
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/4LlWi5oxvO” lmfaooooo hook me up with a flight!
negative,"@united You can't control turbulence, but you can control customer experience, lot of scared people up here."
negative,@AmericanAir dont send me a tweet to cover your social media complaints. How about sending me a message with a way to resolve?!?! #CustServ
neutral,@united will I make it with the delay?
negative,@JetBlue service getting worse and worse. Plane can't fly waiting on a 2nd aircraft. So much for planning.
neutral,@JetBlue Statement on #Lufthansa Incentive Offer - Digital Journal http://t.co/GqP69g9ZGW
neutral,"@USAirways through, can you confirm that I haven't been charged?"
negative,@united every time I search a flight your site logs me out and gives error message. About to book on a different airline and Cancelled Flight my card.
negative,"@USAirways can I speak to a human with some compassion? I wrote an email to discuss my experience and received a generic ""sorry"" email back"
negative,@AmericanAir ...why would you sell seats for a 7 hour flight with half of the legroom occupied by an escape raft? http://t.co/DTHEyOFXrB
negative,@USAirways this is how concerned your gate attendants at C26 are this afternoon. #nocommunication #nocrew http://t.co/hFjYN2vtVj
negative,.@USAirways I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.
negative,@SouthwestAir we've now lost a whole day of our honeymoon... Very disappointed and frustrated with everything.
neutral,@SouthwestAir can you outline the policies for both scenarios?
negative,@USAirways Collectively since Friday I've been on hold with customer service for over 3 hrs. My issue is not resolved... so frustrated!
negative,@SouthwestAir I've been on hold for 2 hours!  When will you answer??
positive,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM
negative,"@united thats weak. See ya 👋
Hey @VirginAmerica !!"
negative,@AmericanAir pathetic service
negative,@AmericanAir my mom tried also. That wasn't the reason they wouldn't change it. Y'all literally said that you'd rather have an empty seat.
neutral,@AmericanAir now I understand!!
neutral,@USAirways so I can make a reservation
negative,@united already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?
positive,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
neutral,@united can I get your service desk # at IAD?
negative,"@AmericanAir @united You're both equally terrible, and I'm going to fight until I get complete satisfaction for how we were mistreated"
negative,@USAirways Unfortunately I doubt that the consistently subpar service will improve with the @AmericanAir merger. #USAirways
positive,@JetBlue thanks for your help! #jetbluesofly
negative,"@SouthwestAir - Hi. My flight confirmation # is fwwe7f. We are currently stuck in Norfolk, Va. Trying to get to LGA in NYC. Ant updates? Thx"
negative,"@USAirways booked flight 1mnth ago, seat CONFIRMED, small plane arrived and was not allowed to board bcs no seat, horrible service"
negative,@JetBlue it seems almost inconceivable that sitting a 5 year old alone is considered okay. But this guy thinks so. http://t.co/q9n6NZYSpK
negative,"@united, no. Re-booked with American and United said they'd transfer our bags to them."
neutral,@JetBlue .. { it's all a320's right?}
negative,@united thanks KP.  What's going on w/4840 tonight.  Bad update online and phone. Can't u give customers good info. Not waste their time?!
negative,@JetBlue u suck Big Donkey Balls!
neutral,@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.
negative,"@AmericanAir i dont believe it, it has been impossible for your agents to get an update from the delivery company since yesterday at 11 am"
negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
negative,@united you need a bag bouncer. Get it together
positive,@JetBlue just mine sadly.. But yea the fly fi is awesome
neutral,@united still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145.
negative,"@AmericanAir trying to change my flight and you just hang up on ppl bc call volume is high. That's a joke, right?"
negative,"@USAirways the least comforting thing from your pilot after sitting on a stationary plane for 3 hours is ""I don't really know what happened"""
neutral,@AmericanAir Oh trust me. I am in love. It is so beautiful!
negative,@USAirways is probably losing a family of world travelers as customers due to broken processes. @AmericanAir I hope you can fix it
negative,@united your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver
negative,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
negative,@AmericanAir - AA1344 Cancelled Flighted on 2.23 - rebooked on us air 623/544 on 2.24. Has to be a nonstop on 2.24 for us (2)?
positive,@JetBlue BOS. Everything current now. Thanks for the follow up
negative,@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?
negative,@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS
negative,"@SouthwestAir Open more kiosks at 
Austin-Bergstrom. Three lanes to service a line of 50 people? Really?"
negative,@united My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.
negative,@united not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place
negative,@AmericanAir  terrible response! How about someone picking up the phone and calling me...It is now 49 Hours with no luggage
negative,@AmericanAir No I do not have them yet. Called for baggage status 5 times yesterday.
negative,@JetBlue figured but delay is listed at almost 2 hrs. Thanks for being great! Cheers
negative,@JetBlue and they are telling me I got to get another hotel and food...so spend more money because you guys made me miss my connection
negative,@USAirways  nothing was available. Male flight crew was not nice/dismissive. Big guy was standby and probably didn't even pay.
negative,"@united I did already rebook, and now I will miss my first appointments in London tomorrow morning. Thanks for ruining my trip - AGAIN!"
neutral,@SouthwestAir if only you could control the weather in Las Vegas 😉
negative,@SouthwestAir do you know that your lost baggage portal http://t.co/hUcLXluV5h doesn't work on mobile? It's a 404 http://t.co/O4ZR27Qpcr
neutral,@AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃
negative,@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot.
negative,@USAirways What a mess caused by the computer systems. Flight 719 in 3 hours Late Flight and now no gate for us. Est 26 min wait.
neutral,@SouthwestAir and Carol Thrower are passengers. Fort Lauderdale airport.
negative,@united funny I paid to check my bag and now flight 1086 is BEGGING folks to check bags for free 1 hour before flight. #notcool
positive,@JetBlue @NinaDavuluri 😃cool
negative,"@USAirways TRBL experience! 2 hrs on the Tarmac for an inch of snow IN PHL ""No hanger open"" &amp; ""a pile of snow""?  #terriblecommunication"
negative,@USAirways @traveloneworld .. Utterly frustrated after 4 hours on hold call was disconnected. I need to amend a Flight Booking Problems. HELP! OW Emerald
negative,@AmericanAir I can't get through to a customer rep to help me out. This is the only option I have got.
neutral,@JetBlue do you have mint service from NYC to San Diego?
neutral,@JetBlue the whole plane. Flight 561 from LGA to PBI http://t.co/4Ktk2hsmGy
neutral,@SouthwestAir greetings
negative,@USAirways offloading the plane?!?!?! This is ridiculous!!!!
neutral,@USAirways I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏
negative,"@united so, I made it all the way to the airport, and they say they won’t fix the handle. I showed you this problem, and you said to go…?"
positive,@SouthwestAir 👏👏👏 on that Late Flightst ad. Makes me happy to be flying you in a few days. #BETHonors
neutral,"@JetBlue I understand delays.  We are all looking at a tv monitor at ur gate and it says current conditions are snow, hence delay."
negative,@USAirways we on on the flight from phf to clt. At the terminal but can't get off plane yet. Need to get on iah flight.
negative,"@united cabin crew were huge offenders, stood as a conversational cluster blocking exiting passengers"
negative,@AmericanAir TSA said there is nothing they could do. But the question is why are your employee's swapping your customers belongings?
positive,"@JetBlue big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!"
neutral,"@JetBlue Hi there, any rough idea of when January 2016 flights will be made available?"
negative,@united is amazing how hard is to talk with customer service! !!
negative,@USAirways after sitting on the runway for 3 hours i had to leave the airport w/o my luggage. Is this ur 1st day??
negative,".@united Our newest delay, right now http://t.co/96fTLZWtvO"
negative,@SouthwestAir = easy and pleasant. @united = difficult and stressful. Learned my lesson.
neutral,@SouthwestAir when are you starting routes to #Hawaii and #Canada?
